Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
82,FUSN,Healthcare,Biotechnology,NASDAQ,206.9,98,99,98,20
83,CXDO,Communication Services,Telecom Services,NASDAQ,206.2,98,99,98,88
84,MPTI,Technology,Electronic Components,NYSE MKT,206.04,98,98,99,98
85,FULC,Healthcare,Biotechnology,NASDAQ,205.76,98,97,49,88
86,UNCY,Healthcare,Biotechnology,NASDAQ,204.96,98,86,10,11
87,RXST,Healthcare,Medical Devices,NASDAQ,202.6,98,98,97,97
88,MOD,Consumer Cyclical,Auto Parts,NYSE,201.86,98,98,98,99
89,VANI,Healthcare,Medical Devices,NASDAQ,201.58,98,21,24,11
90,GOTU,Consumer Defensive,Education & Training Services,NYSE,201.31,98,88,62,71
91,TPST,Healthcare,Biotechnology,NASDAQ,200.8,98,98,99,1
92,LEXX,Healthcare,Biotechnology,NASDAQ,199.31,98,82,92,11
93,ACMR,Technology,Semiconductor Equipment & Materials,NASDAQ,199.05,98,87,89,97
94,EWTX,Healthcare,Biotechnology,NASDAQ,198.62,98,99,26,15
95,PRCH,Technology,Software—Application,NASDAQ,198.51,98,99,93,7
96,SYRS,Healthcare,Biotechnology,NASDAQ,197.95,98,99,18,62
97,JSPR,Healthcare,Biotechnology,NASDAQ,197.24,98,74,10,10
98,MFH,Financial Services,Capital Markets,NASDAQ,197.17,98,98,80,67
99,CRDL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,197.15,98,91,94,95
100,APP,Technology,Software—Application,NASDAQ,197.13,98,97,98,99
101,CRDF,Healthcare,Biotechnology,NASDAQ,196.35,98,64,19,78
102,FNGU,Exchange Traded Fund,USA,NYSE ARCA,195.93,98,98,98,99
103,ML,Technology,Software—Application,NYSE,195.73,98,99,99,82
104,TARS,Healthcare,Biotechnology,NASDAQ,195.4,98,97,53,63
105,PALT,Technology,Software—Application,NASDAQ,194.98,98,99,51,87
106,ENTX,Healthcare,Biotechnology,NASDAQ,194.52,98,65,30,17
107,CDRO,Consumer Cyclical,Gambling,NASDAQ,194.41,98,90,84,56
108,NPCE,Healthcare,Medical Devices,NASDAQ,194.26,98,99,99,99
109,TNYA,Healthcare,Biotechnology,NASDAQ,193.79,98,93,9,26
110,LFMD,Healthcare,Pharmaceutical Retailers,NASDAQ,193.52,98,97,99,99
111,ORIC,Healthcare,Biotechnology,NASDAQ,193.1,98,96,96,99
112,PEPG,Healthcare,Biotechnology,NASDAQ,191.83,98,95,12,6
113,KUKE,Communication Services,Entertainment,NYSE,191.68,98,98,94,63
114,DTST,Technology,Information Technology Services,NASDAQ,191.03,98,96,95,98
115,DYN,Healthcare,Biotechnology,NASDAQ,190.62,98,98,40,30
116,BIMI,Healthcare,Pharmaceutical Retailers,NASDAQ,190.11,98,96,91,85
117,OSCR,Healthcare,Healthcare Plans,NYSE,189.73,98,99,97,91
118,NVDA,Technology,Semiconductors,NASDAQ,189.34,98,98,97,98
119,SYBX,Healthcare,Biotechnology,NASDAQ,188.6,98,99,99,8
120,MRUS,Healthcare,Biotechnology,NASDAQ,188.32,98,96,87,87
121,NNBR,Industrials,Conglomerates,NASDAQ,187.28,98,99,96,82
122,AHG,Financial Services,Credit Services,NASDAQ,186.89,98,99,96,99
123,AIHS,Financial Services,Credit Services,NASDAQ,186.55,98,92,14,10
124,ZDGE,Communication Services,Internet Content & Information,NYSE MKT,186.23,98,93,34,23
125,ALXO,Healthcare,Biotechnology,NASDAQ,186.04,97,98,90,8
126,BLND,Technology,Software—Application,NYSE,185.28,97,98,94,29
127,SOUN,Technology,Software—Application,NASDAQ,184.42,97,23,58,57
128,BBAI,Technology,Information Technology Services,NYSE,184.17,97,24,75,77
129,DELL,Technology,Computer Hardware,NYSE,183.74,97,95,94,97
130,TARA,Healthcare,Biotechnology,NASDAQ,183.68,97,93,8,14
131,APRE,Healthcare,Biotechnology,NASDAQ,182.99,97,88,23,22
132,RLMD,Healthcare,Biotechnology,NASDAQ,182.96,97,93,17,77
133,QUIK,Technology,Semiconductors,NASDAQ,181.79,97,94,97,89
134,TSHA,Healthcare,Biotechnology,NASDAQ,181.26,97,88,79,99
135,ABEO,Healthcare,Biotechnology,NASDAQ,181.25,97,86,87,89
136,ARDX,Healthcare,Biotechnology,NASDAQ,180.34,97,98,96,98
137,BYRN,Industrials,Aerospace & Defense,NASDAQ,180.29,97,96,88,7
138,BWAY,Healthcare,Medical Devices,NASDAQ,179.17,97,99,99,96
139,PASG,Healthcare,Biotechnology,NASDAQ,178.48,97,74,13,12
140,ADAG,Healthcare,Biotechnology,NASDAQ,178.37,97,99,89,78
141,NAMS,Healthcare,Biotechnology,NASDAQ,178.09,97,96,40,38
