Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
797,KRUS,Consumer Cyclical,Restaurants,NASDAQ,112.22,87,93,24,73
798,MRNS,Healthcare,Biotechnology,NASDAQ,112.16,87,88,89,53
799,GRNQ,Industrials,Consulting Services,NASDAQ,112.11,87,37,19,20
800,BNTC,Healthcare,Biotechnology,NASDAQ,112.07,87,21,26,17
801,OPHC,Financial Services,Banks—Regional,NASDAQ,112.03,87,90,60,31
802,GRND,Technology,Software—Application,NYSE,111.99,86,92,88,31
803,EML,Industrials,Tools & Accessories,NASDAQ,111.99,86,86,40,43
804,PTVE,Consumer Cyclical,Packaging & Containers,NASDAQ,111.98,86,94,94,25
805,AVDL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,111.94,86,90,88,92
806,GMS,Industrials,Building Products & Equipment,NYSE,111.94,86,90,86,82
807,HUBB,Industrials,Electrical Equipment & Parts,NYSE,111.93,86,85,70,88
808,APH,Technology,Electronic Components,NYSE,111.89,86,84,80,78
809,LDI,Financial Services,Mortgage Finance,NYSE,111.87,86,95,56,57
810,AAON,Industrials,Building Products & Equipment,NASDAQ,111.84,86,82,67,86
811,SKT,Real Estate,REIT—Retail,NYSE,111.83,86,78,90,87
812,VITL,Consumer Defensive,Farm Products,NASDAQ,111.79,86,69,72,17
813,PAGS,Technology,Software—Infrastructure,NYSE,111.75,86,93,82,31
814,DFIN,Financial Services,Capital Markets,NYSE,111.71,86,84,94,84
815,BKD,Healthcare,Medical Care Facilities,NYSE,111.64,86,93,95,73
816,RACE,Consumer Cyclical,Auto Manufacturers,NYSE,111.63,86,83,92,87
817,EGLE,Industrials,Marine Shipping,NYSE,111.61,86,80,44,39
818,DMAC,Healthcare,Biotechnology,NASDAQ,111.61,86,94,84,98
819,KNSA,Healthcare,Biotechnology,NASDAQ,111.6,86,78,80,91
820,SLVM,Basic Materials,Paper & Paper Products,NYSE,111.59,86,41,81,35
821,DDOG,Technology,Software—Application,NASDAQ,111.53,86,94,94,86
822,HLVX,Healthcare,Biotechnology,NASDAQ,111.53,86,54,42,16
823,ACR,Real Estate,REIT—Mortgage,NYSE,111.52,86,79,39,35
824,BTOG,Consumer Defensive,Packaged Foods,NASDAQ,111.49,86,99,99,8
825,BRKR,Healthcare,Medical Devices,NASDAQ,111.47,86,68,46,34
826,KEP,Utilities,Utilities—Regulated Electric,NYSE,111.46,86,68,73,41
827,IOT,Technology,Software—Infrastructure,NYSE,111.45,86,95,97,97
828,NNOX,Healthcare,Medical Devices,NASDAQ,111.39,86,12,13,12
829,NWS,Communication Services,Entertainment,NASDAQ,111.36,86,83,84,86
830,KB,Financial Services,Banks—Regional,NYSE,111.34,86,82,54,78
831,AGS,Consumer Cyclical,Gambling,NYSE,111.33,86,87,90,75
832,MATX,Industrials,Marine Shipping,NYSE,111.3,86,91,92,88
833,FONR,Healthcare,Medical Devices,NASDAQ,111.29,86,84,84,43
834,LIXTW,n/a,n/a,NASDAQ,111.27,86,31,16,12
835,THO,Consumer Cyclical,Recreational Vehicles,NYSE,111.26,86,80,79,81
836,BKDT,n/a,n/a,NYSE,111.26,86,92,95,69
837,TMHC,Consumer Cyclical,Residential Construction,NYSE,111.24,86,83,84,92
838,PWR,Industrials,Engineering & Construction,NYSE,111.23,86,77,71,89
839,HCC,Basic Materials,Coking Coal,NYSE,111.18,86,94,95,87
840,CIEN,Technology,Communication Equipment,NYSE,111.05,86,81,47,72
841,CLSD,Healthcare,Biotechnology,NASDAQ,111.0,86,90,74,15
842,FORM,Technology,Semiconductors,NASDAQ,110.95,86,83,88,80
843,IRM,Real Estate,REIT—Specialty,NYSE,110.92,86,77,82,81
844,OWLT,Healthcare,Medical Devices,NYSE,110.9,86,34,85,14
845,BBAR,Financial Services,Banks—Regional,NYSE,110.84,86,91,90,90
846,CDNA,Healthcare,Diagnostics & Research,NASDAQ,110.82,86,54,66,21
847,HLNE,Financial Services,Asset Management,NASDAQ,110.81,86,92,89,90
848,INTC,Technology,Semiconductors,NASDAQ,110.76,86,82,92,89
849,TWN,Financial Services,Asset Management,NYSE,110.74,86,85,84,79
850,IFS,Financial Services,Banks—Regional,NYSE,110.74,86,69,26,50
851,ARHS,Consumer Cyclical,Home Improvement Retail,NASDAQ,110.7,86,83,44,74
852,GENI,Communication Services,Internet Content & Information,NYSE,110.68,86,91,45,91
853,CNTB,Healthcare,Biotechnology,NASDAQ,110.68,86,23,78,18
854,MCK,Healthcare,Medical Distribution,NYSE,110.65,86,82,86,80
855,FAST,Industrials,Industrial Distribution,NASDAQ,110.65,86,82,81,62
856,VSEC,Industrials,Aerospace & Defense,NASDAQ,110.63,86,68,78,85
857,PWP,Financial Services,Capital Markets,NASDAQ,110.62,86,80,89,89
858,STNE,Technology,Software—Infrastructure,NASDAQ,110.59,86,94,95,76
859,COOP,Financial Services,Mortgage Finance,NASDAQ,110.55,86,86,91,86
860,AGIO,Healthcare,Biotechnology,NASDAQ,110.54,86,33,28,53
861,URBN,Consumer Cyclical,Apparel Retail,NASDAQ,110.53,86,84,82,83
862,ANIP,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,110.5,86,66,59,95
863,CHEF,Consumer Defensive,Food Distribution,NASDAQ,110.5,86,73,29,28
864,HLT,Consumer Cyclical,Lodging,NYSE,110.48,85,86,84,78
865,PLMR,Financial Services,Insurance—Property & Casualty,NASDAQ,110.48,85,60,81,29
866,OPTN,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,110.48,85,20,73,17
867,MLI,Industrials,Metal Fabrication,NYSE,110.46,85,86,83,56
868,HNI,Industrials,Business Equipment & Supplies,NYSE,110.44,85,86,93,80
869,IDT,Communication Services,Telecom Services,NYSE,110.43,85,83,82,24
870,UHS,Healthcare,Medical Care Facilities,NYSE,110.42,85,79,72,70
871,SHW,Basic Materials,Specialty Chemicals,NYSE,110.34,85,83,81,81
872,PGR,Financial Services,Insurance—Property & Casualty,NYSE,110.28,85,85,87,64
873,PEGA,Technology,Software—Application,NASDAQ,110.26,85,69,85,73
874,IMTX,Healthcare,Biotechnology,NASDAQ,110.23,85,81,28,84
875,HRB,Consumer Cyclical,Personal Services,NYSE,110.22,85,82,87,75
876,PTC,Technology,Software—Application,NASDAQ,110.18,85,85,87,79
877,HRI,Industrials,Rental & Leasing Services,NYSE,110.15,85,85,39,70
878,OPFI,Technology,Software—Application,NYSE,110.14,85,93,97,86
879,HWKN,Basic Materials,Specialty Chemicals,NASDAQ,110.14,85,85,91,91
880,PPC,Consumer Defensive,Packaged Foods,NASDAQ,110.11,85,66,78,57
881,TOPS,Industrials,Marine Shipping,NASDAQ,110.08,85,95,90,13
882,VMC,Basic Materials,Building Materials,NYSE,110.07,85,74,74,83
883,NXPI,Technology,Semiconductors,NASDAQ,110.06,85,75,77,81
884,XOS,Industrials,Farm & Heavy Construction Machinery,NASDAQ,110.06,85,11,12,8
885,AAME,Financial Services,Insurance—Life,NASDAQ,110.05,85,89,33,23
886,TPR,Consumer Cyclical,Luxury Goods,NYSE,110.04,85,74,31,22
887,DNOW,Energy,Oil & Gas Equipment & Services,NYSE,110.02,85,27,37,62
888,SPOK,Healthcare,Health Information Services,NASDAQ,110.0,85,88,92,96
889,ITT,Industrials,Specialty Industrial Machinery,NYSE,109.96,85,87,87,87
890,SPH,Utilities,Utilities—Regulated Gas,NYSE,109.92,85,83,82,41
891,WIRE,Industrials,Electrical Equipment & Parts,NASDAQ,109.87,85,88,79,68
892,AXP,Financial Services,Credit Services,NYSE,109.85,85,87,72,49
893,ATOS,Healthcare,Biotechnology,NASDAQ,109.83,85,66,52,73
894,DMA,Financial Services,Asset Management,NYSE,109.82,85,80,49,45
895,APAM,Financial Services,Asset Management,NYSE,109.76,85,82,80,83
896,REZI,Industrials,Security & Protection Services,NYSE,109.76,85,55,61,35
897,AVTE,Healthcare,Biotechnology,NASDAQ,109.75,85,77,45,16
898,RIOT,Technology,Software—Application,NASDAQ,109.75,85,50,99,95
899,MIGI,Financial Services,Capital Markets,NASDAQ,109.63,85,97,88,1
900,GNK,Industrials,Marine Shipping,NYSE,109.63,85,81,57,40
901,FND,Consumer Cyclical,Home Improvement Retail,NYSE,109.63,85,70,77,72
902,EEX,Communication Services,Advertising Agencies,NYSE,109.6,85,92,93,69
903,LFVN,Consumer Defensive,Packaged Foods,NASDAQ,109.6,85,75,94,97
904,PRIM,Industrials,Engineering & Construction,NYSE,109.59,85,80,79,92
905,WRK,Consumer Cyclical,Packaging & Containers,NYSE,109.58,85,73,89,70
906,BCYC,Healthcare,Biotechnology,NASDAQ,109.52,85,24,12,33
907,NWSA,Communication Services,Entertainment,NASDAQ,109.5,85,82,81,84
908,MDXG,Healthcare,Biotechnology,NASDAQ,109.49,85,88,96,98
909,IMMX,Healthcare,Biotechnology,NASDAQ,109.45,85,89,99,97
910,MYRG,Industrials,Engineering & Construction,NASDAQ,109.45,85,83,70,88
911,DVA,Healthcare,Medical Care Facilities,NYSE,109.44,85,85,86,78
912,SKY,Consumer Cyclical,Residential Construction,NYSE,109.43,85,74,51,83
913,CIB,Financial Services,Banks—Regional,NYSE,109.43,85,84,84,59
914,SIG,Consumer Cyclical,Luxury Goods,NYSE,109.42,85,89,91,84
915,TPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,109.37,85,84,77,92
916,LE,Consumer Cyclical,Specialty Retail,NASDAQ,109.35,85,80,40,28
917,PT,Financial Services,Credit Services,NASDAQ,109.34,85,89,96,93
918,SXI,Industrials,Specialty Industrial Machinery,NYSE,109.33,85,68,71,91
919,CVRX,Healthcare,Medical Devices,NASDAQ,109.32,85,95,98,93
920,AACG,Consumer Defensive,Education & Training Services,NASDAQ,109.27,85,24,10,16
921,BFAM,Consumer Cyclical,Personal Services,NYSE,109.24,85,78,71,84
922,CASY,Consumer Cyclical,Specialty Retail,NASDAQ,109.23,85,69,87,72
923,AZTA,Healthcare,Medical Instruments & Supplies,NASDAQ,109.22,85,88,82,72
924,CVCO,Consumer Cyclical,Residential Construction,NASDAQ,109.19,85,83,75,67
925,ALL,Financial Services,Insurance—Property & Casualty,NYSE,109.19,85,86,88,38
926,RYAAY,Industrials,Airlines,NASDAQ,109.17,84,92,91,77
927,PIPR,Financial Services,Capital Markets,NYSE,109.14,84,89,81,80
928,APT,Industrials,Building Products & Equipment,NYSE MKT,109.05,84,84,89,74
929,GPOR,Energy,Oil & Gas E&P,NYSE,109.0,84,85,95,93
930,AIF,Financial Services,Asset Management,NYSE,109.0,84,76,76,80
931,FSS,Industrials,Pollution & Treatment Controls,NYSE,108.99,84,89,90,80
932,AVAH,Healthcare,Medical Care Facilities,NASDAQ,108.97,84,97,99,81
933,GLDD,Industrials,Engineering & Construction,NASDAQ,108.96,84,60,44,73
934,BAP,Financial Services,Banks—Regional,NYSE,108.94,84,68,39,54
935,SNPS,Technology,Software—Infrastructure,NASDAQ,108.93,84,86,93,87
936,CXW,Real Estate,REIT—Specialty,NYSE,108.92,84,89,93,64
937,TME,Communication Services,Internet Content & Information,NYSE,108.92,84,81,81,41
938,SPLK,Technology,Software—Infrastructure,NASDAQ,108.88,84,89,95,91
939,BBVA,Financial Services,Banks—Diversified,NYSE,108.85,84,86,94,90
940,BLX,Financial Services,Banks—Regional,NYSE,108.85,84,76,91,92
941,VMEO,Technology,Software—Application,NASDAQ,108.79,84,64,36,38
942,CFLT,Technology,Software—Infrastructure,NASDAQ,108.76,84,69,26,88
943,UNIT,Real Estate,REIT—Specialty,NASDAQ,108.71,84,60,83,40
944,NVR,Consumer Cyclical,Residential Construction,NYSE,108.71,84,84,81,88
945,NSPR,Healthcare,Medical Devices,NASDAQ,108.69,84,91,95,99
946,DNN,Energy,Uranium,NYSE MKT,108.69,84,94,95,85
947,WAB,Industrials,Railroads,NYSE,108.66,84,83,82,75
948,MAR,Consumer Cyclical,Lodging,NASDAQ,108.66,84,87,80,86
949,STRO,Healthcare,Biotechnology,NASDAQ,108.63,84,76,8,21
950,ULCC,Industrials,Airlines,NASDAQ,108.62,84,31,7,9
951,HDSN,Basic Materials,Specialty Chemicals,NASDAQ,108.6,84,82,86,91
952,OMI,Healthcare,Medical Distribution,NYSE,108.55,84,76,89,26
953,GEHC,Healthcare,Health Information Services,NASDAQ,108.54,84,44,50,45
954,ALIM,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,108.53,84,90,89,83
955,RPAY,Technology,Software—Infrastructure,NASDAQ,108.5,84,71,37,76
956,MPC,Energy,Oil & Gas Refining & Marketing,NYSE,108.49,84,83,84,94
957,TW,Financial Services,Capital Markets,NASDAQ,108.45,84,79,91,90
958,DPZ,Consumer Cyclical,Restaurants,NYSE,108.41,84,79,81,86
959,VNOM,Energy,Oil & Gas Midstream,NASDAQ,108.31,84,65,69,61
960,BSX,Healthcare,Medical Devices,NYSE,108.3,84,83,78,81
961,BHAT,Communication Services,Electronic Gaming & Multimedia,NASDAQ,108.3,84,61,87,98
962,PAY,Technology,Information Technology Services,NYSE,108.26,84,92,97,97
963,RELX,Communication Services,Publishing,NYSE,108.22,84,85,89,81
964,WIT,Technology,Information Technology Services,NYSE,108.18,84,80,44,73
965,WFC,Financial Services,Banks—Diversified,NYSE,108.18,84,77,72,51
966,JNPR,Technology,Communication Equipment,NYSE,108.14,84,86,43,41
967,ELLO,Utilities,Utilities—Renewable,NYSE MKT,108.14,84,68,46,30
968,IINN,Healthcare,Medical Devices,NASDAQ,108.11,84,12,22,53
969,NSIT,Technology,Electronics & Computer Distribution,NASDAQ,108.1,84,90,91,90
970,WDFC,Basic Materials,Specialty Chemicals,NASDAQ,108.07,84,85,90,78
971,SUN,Energy,Oil & Gas Refining & Marketing,NYSE,108.07,84,82,87,62
972,MLR,Consumer Cyclical,Auto Parts,NYSE,108.06,84,77,87,90
973,BX,Financial Services,Asset Management,NYSE,108.05,84,87,89,91
974,PANL,Industrials,Marine Shipping,NASDAQ,108.04,84,93,88,50
975,LBRT,Energy,Oil & Gas Equipment & Services,NYSE,108.03,84,81,86,89
976,LRN,Consumer Defensive,Education & Training Services,NYSE,108.03,84,87,96,81
977,NATR,Consumer Defensive,Packaged Foods,NASDAQ,108.03,84,87,95,97
978,SUM,Basic Materials,Building Materials,NYSE,108.02,84,68,78,73
979,VRTX,Healthcare,Biotechnology,NASDAQ,107.99,84,80,78,76
980,SPG,Real Estate,REIT—Retail,NYSE,107.98,84,76,81,65
981,INCR,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,107.95,84,17,11,11
982,ENSG,Healthcare,Medical Care Facilities,NASDAQ,107.89,84,83,84,65
983,ARWR,Healthcare,Biotechnology,NASDAQ,107.87,84,45,18,32
984,MSFT,Technology,Software—Infrastructure,NASDAQ,107.79,84,86,91,86
985,NISN,Financial Services,Credit Services,NASDAQ,107.78,84,85,64,8
986,GHSI,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,107.77,84,85,25,76
987,HOFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,107.76,83,87,71,69
988,PSHG,Industrials,Marine Shipping,NASDAQ,107.76,83,87,97,98
989,KELYA,Industrials,Staffing & Employment Services,NASDAQ,107.76,83,74,86,76
990,PINS,Communication Services,Internet Content & Information,NYSE,107.75,83,92,92,83
991,CNXN,Technology,Electronics & Computer Distribution,NASDAQ,107.66,83,86,90,83
992,MORN,Financial Services,Financial Data & Stock Exchanges,NASDAQ,107.64,83,78,88,85
993,WM,Industrials,Waste Management,NYSE,107.58,83,75,77,47
994,PJT,Financial Services,Capital Markets,NYSE,107.55,83,86,90,70
995,PR,Energy,Oil & Gas E&P,NYSE,107.51,83,61,79,96
996,ORMP,Healthcare,Biotechnology,NASDAQ,107.5,83,82,12,18
997,GTH,Healthcare,Diagnostics & Research,NASDAQ,107.49,83,78,92,39
998,BBWI,Consumer Cyclical,Specialty Retail,NYSE,107.48,83,83,34,36
999,CGTX,Healthcare,Biotechnology,NASDAQ,107.44,83,95,14,10
1000,IFN,Financial Services,Asset Management,NYSE,107.43,83,78,76,74
1001,BEAM,Healthcare,Biotechnology,NASDAQ,107.4,83,30,33,13
1002,ALLY,Financial Services,Credit Services,NYSE,107.37,83,88,83,72
1003,HEES,Industrials,Rental & Leasing Services,NASDAQ,107.31,83,85,62,70
1004,HIG,Financial Services,Insurance—Diversified,NYSE,107.31,83,82,76,57
1005,DSGR,Industrials,Industrial Distribution,NASDAQ,107.3,83,87,77,86
1006,HUBS,Technology,Software—Application,NYSE,107.28,83,91,85,94
1007,WRB,Financial Services,Insurance—Property & Casualty,NYSE,107.27,83,83,83,53
1008,PFGC,Consumer Defensive,Food Distribution,NYSE,107.26,83,82,82,72
1009,PGEN,Healthcare,Biotechnology,NASDAQ,107.24,83,72,24,77
1010,RRR,Consumer Cyclical,Resorts & Casinos,NASDAQ,107.24,83,84,54,49
1011,AWRE,Technology,Software—Application,NASDAQ,107.21,83,62,55,23
1012,MDB,Technology,Software—Infrastructure,NASDAQ,107.19,83,92,97,96
1013,AIZ,Financial Services,Insurance—Specialty,NYSE,107.18,83,75,93,74
1014,SAIC,Technology,Information Technology Services,NYSE,107.17,83,77,88,69
1015,EAT,Consumer Cyclical,Restaurants,NYSE,107.16,83,80,80,30
1016,SWAV,Healthcare,Medical Devices,NASDAQ,107.16,83,50,19,34
1017,PSX,Energy,Oil & Gas Refining & Marketing,NYSE,107.15,83,89,86,90
1018,UPC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,107.15,83,90,3,2
1019,CEPU,Utilities,Utilities—Regulated Electric,NYSE,107.12,83,96,95,69
1020,ASX,Technology,Semiconductors,NYSE,107.09,83,79,84,79
1021,SPNT,Financial Services,Insurance—Reinsurance,NYSE,107.09,83,84,89,96
1022,M,Consumer Cyclical,Department Stores,NYSE,107.08,83,81,74,11
1023,STEP,Financial Services,Asset Management,NASDAQ,107.08,83,82,30,85
1024,CAH,Healthcare,Medical Distribution,NYSE,107.07,83,79,92,82
1025,AGMH,Technology,Software—Application,NASDAQ,107.05,83,38,48,36
1026,GRMN,Technology,Scientific & Technical Instruments,NYSE,107.02,83,70,89,72
1027,NGVC,Consumer Defensive,Grocery Stores,NYSE,106.96,83,85,95,85
1028,DLR,Real Estate,REIT—Office,NYSE,106.95,83,81,87,85
1029,Z,Communication Services,Internet Content & Information,NASDAQ,106.95,83,88,49,89
1030,CBOE,Financial Services,Financial Data & Stock Exchanges,BATS,106.89,83,85,93,86
1031,TGI,Industrials,Aerospace & Defense,NYSE,106.89,83,96,77,16
1032,ROST,Consumer Cyclical,Apparel Retail,NASDAQ,106.88,83,84,85,79
1033,FRST,Financial Services,Banks—Regional,NASDAQ,106.86,83,88,80,28
1034,LINC,Consumer Defensive,Education & Training Services,NASDAQ,106.82,83,87,92,93
1035,ACIU,Healthcare,Biotechnology,NASDAQ,106.82,83,77,93,95
1036,OGI,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,106.81,83,79,14,19
1037,KFY,Industrials,Staffing & Employment Services,NYSE,106.8,83,78,60,39
1038,EFX,Industrials,Consulting Services,NYSE,106.79,83,85,78,43
1039,NTWK,Technology,Software—Application,NASDAQ,106.79,83,41,27,23
1040,FNF,Financial Services,Insurance—Specialty,NYSE,106.78,83,84,85,84
1041,RARE,Healthcare,Biotechnology,NASDAQ,106.77,83,60,49,31
1042,JPM,Financial Services,Banks—Diversified,NYSE,106.76,83,81,82,75
1043,FUNC,Financial Services,Banks—Regional,NASDAQ,106.75,83,90,88,47
1044,NOA,Energy,Oil & Gas Equipment & Services,NYSE,106.7,83,75,76,96
1045,COKE,Consumer Defensive,Beverages—Non-Alcoholic,NASDAQ,106.7,83,92,90,87
1046,SFL,Industrials,Marine Shipping,NYSE,106.7,83,76,79,81
1047,THM,Basic Materials,Gold,NYSE MKT,106.65,83,90,86,21
1048,ECL,Basic Materials,Specialty Chemicals,NYSE,106.62,83,75,81,76
1049,LINK,Technology,Electronic Components,NASDAQ,106.58,82,90,88,58
1050,XRX,Technology,Information Technology Services,NASDAQ,106.56,82,83,29,74
1051,CI,Healthcare,Healthcare Plans,NYSE,106.55,82,70,36,56
1052,STRA,Consumer Defensive,Education & Training Services,NASDAQ,106.53,82,72,82,60
1053,MOBBW,Technology,Communication Equipment,NASDAQ,106.49,82,85,93,92
1054,AUDC,Technology,Communication Equipment,NASDAQ,106.47,82,42,47,20
1055,AOMR,Real Estate,REIT—Mortgage,NYSE,106.44,82,89,96,91
1056,SB,Industrials,Marine Shipping,NYSE,106.4,82,77,87,42
1057,HEPS,Consumer Cyclical,Internet Retail,NASDAQ,106.35,82,88,97,96
1058,CYT,Healthcare,Biotechnology,NASDAQ,106.35,82,87,96,96
1059,HQY,Healthcare,Health Information Services,NASDAQ,106.31,82,83,57,80
1060,SPR,Industrials,Aerospace & Defense,NYSE,106.28,82,61,81,9
1061,ARCH,Energy,Thermal Coal,NYSE,106.27,82,86,90,85
1062,PWFL,Technology,Communication Equipment,NASDAQ,106.26,82,91,28,19
1063,FRO,Energy,Oil & Gas Midstream,NYSE,106.25,82,79,88,83
1064,AGM,Financial Services,Credit Services,NYSE,106.24,82,86,85,92
1065,BHE,Technology,Electronic Components,NYSE,106.23,82,84,66,43
1066,CTLT,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,106.21,82,86,21,38
1067,ZG,Communication Services,Internet Content & Information,NASDAQ,106.2,82,87,44,89
1068,RSG,Industrials,Waste Management,NYSE,106.19,82,80,83,69
1069,BV,Industrials,Specialty Business Services,NYSE,106.17,82,80,74,84
1070,GRC,Industrials,Specialty Industrial Machinery,NYSE,106.16,82,75,82,88
1071,DIBS,Consumer Cyclical,Internet Retail,NASDAQ,106.13,82,62,51,43
1072,USFD,Consumer Defensive,Food Distribution,NYSE,106.09,82,78,83,69
1073,IT,Technology,Information Technology Services,NYSE,106.08,82,91,90,68
1074,SNTG,Financial Services,Credit Services,NASDAQ,106.07,82,77,32,15
1075,VNO,Real Estate,REIT—Office,NYSE,106.0,82,85,91,93
1076,NBIX,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,105.97,82,88,80,75
1077,SHOP,Technology,Software—Application,NYSE,105.96,82,92,95,94
1078,PRI,Financial Services,Insurance—Life,NYSE,105.93,82,81,86,90
1079,ARIS,Utilities,Utilities—Regulated Water,NYSE,105.92,82,29,17,31
1080,SYK,Healthcare,Medical Devices,NYSE,105.91,82,80,74,82
1081,CTAS,Industrials,Specialty Business Services,NASDAQ,105.91,82,85,84,75
1082,DY,Industrials,Engineering & Construction,NYSE,105.84,82,85,75,47
1083,NCMI,Communication Services,Advertising Agencies,NASDAQ,105.83,82,79,72,95
1084,ULH,Industrials,Trucking,NASDAQ,105.83,82,68,29,24
1085,ABBV,Healthcare,Drug Manufacturers—General,NYSE,105.82,82,77,52,65
1086,DIS,Communication Services,Entertainment,NYSE,105.82,82,58,61,27
1087,NPO,Industrials,Specialty Industrial Machinery,NYSE,105.8,82,89,82,85
1088,URG,Energy,Uranium,NYSE MKT,105.79,82,95,91,90
1089,ICE,Financial Services,Financial Data & Stock Exchanges,NYSE,105.79,82,77,68,76
1090,FPH,Real Estate,Real Estate—Development,NYSE,105.78,82,88,42,91
1091,SYM,Financial Services,Shell Companies,NASDAQ,105.74,82,96,99,98
1092,TIMB,Communication Services,Telecom Services,NYSE,105.74,82,83,92,80
1093,VTRS,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,105.72,82,79,41,57
1094,BRO,Financial Services,Insurance Brokers,NYSE,105.67,82,76,83,86
1095,GTX,Consumer Cyclical,Auto Parts,NASDAQ,105.65,82,73,54,59
1096,MGRC,Industrials,Rental & Leasing Services,NASDAQ,105.58,82,87,64,62
1097,NICE,Technology,Software—Application,NASDAQ,105.57,82,74,54,31
1098,ACIW,Technology,Software—Infrastructure,NASDAQ,105.56,82,80,85,60
1099,CRL,Healthcare,Diagnostics & Research,NYSE,105.55,82,68,42,45
1100,APOG,Industrials,Building Products & Equipment,NASDAQ,105.51,82,80,71,82
1101,QNST,Communication Services,Advertising Agencies,NASDAQ,105.49,82,77,82,27
1102,DLHC,Industrials,Specialty Business Services,NASDAQ,105.47,82,86,88,39
1103,PNR,Industrials,Specialty Industrial Machinery,NYSE,105.46,82,79,80,92
1104,CFBK,Financial Services,Banks—Regional,NASDAQ,105.46,82,86,32,46
1105,TRV,Financial Services,Insurance—Property & Casualty,NYSE,105.42,82,82,74,38
1106,MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,105.41,82,70,40,41
1107,INSM,Healthcare,Biotechnology,NASDAQ,105.39,82,83,89,92
1108,PK,Real Estate,REIT—Hotel & Motel,NYSE,105.38,82,74,82,51
1109,TWIN,Industrials,Specialty Industrial Machinery,NASDAQ,105.37,82,87,79,88
1110,TRMB,Technology,Scientific & Technical Instruments,NASDAQ,105.35,81,62,29,43
1111,PANW,Technology,Software—Infrastructure,NASDAQ,105.35,81,95,94,91
1112,HBM,Basic Materials,Copper,NYSE,105.21,81,68,40,55
1113,BRAG,Communication Services,Electronic Gaming & Multimedia,NASDAQ,105.21,81,86,93,94
1114,MTSI,Technology,Semiconductors,NASDAQ,105.21,81,77,86,89
1115,RBA,Industrials,Specialty Business Services,NYSE,105.18,81,51,72,81
1116,LOGI,Technology,Computer Hardware,NASDAQ,105.17,81,80,94,87
1117,PATH,Technology,Software—Infrastructure,NYSE,105.12,81,93,96,89
1118,AMK,Financial Services,Asset Management,NYSE,105.12,81,78,38,68
1119,CRBG,Financial Services,Asset Management,NYSE,105.07,81,79,76,58
1120,GLUE,Healthcare,Biotechnology,NASDAQ,105.06,81,40,5,23
1121,HLI,Financial Services,Capital Markets,NYSE,105.03,81,85,84,85
1122,ATKR,Industrials,Electrical Equipment & Parts,NYSE,105.02,81,67,37,87
1123,XP,Financial Services,Capital Markets,NASDAQ,105.0,81,90,90,96
1124,PKG,Consumer Cyclical,Packaging & Containers,NYSE,104.98,81,64,86,75
1125,PCOR,Technology,Software—Application,NYSE,104.93,81,86,54,78
1126,NWLI,Financial Services,Insurance—Life,NASDAQ,104.91,81,89,95,97
1127,COF,Financial Services,Credit Services,NYSE,104.9,81,86,81,48
1128,SM,Energy,Oil & Gas E&P,NYSE,104.9,81,52,60,89
1129,STN,Industrials,Engineering & Construction,NYSE,104.89,81,88,91,85
1130,CCS,Consumer Cyclical,Residential Construction,NYSE,104.87,81,90,86,89
1131,GHLD,Financial Services,Mortgage Finance,NYSE,104.86,81,87,77,47
1132,NXTP,Technology,Software—Infrastructure,NASDAQ,104.86,81,85,4,17
1133,DAKT,Technology,Electronic Components,NASDAQ,104.83,81,80,97,99
1134,MGNI,Communication Services,Advertising Agencies,NASDAQ,104.81,81,47,25,20
1135,CEM,Financial Services,Asset Management,NYSE,104.8,81,80,84,77
1136,AIRI,Industrials,Aerospace & Defense,NYSE MKT,104.8,81,61,23,11
1137,BBU,Industrials,Conglomerates,NYSE,104.77,81,92,53,23
1138,QUAD,Industrials,Specialty Business Services,NYSE,104.75,81,87,79,93
1139,UVE,Financial Services,Insurance—Property & Casualty,NYSE,104.73,81,69,89,33
1140,AIT,Industrials,Industrial Distribution,NYSE,104.7,81,84,83,90
1141,TNET,Industrials,Staffing & Employment Services,NYSE,104.68,81,80,90,92
1142,FOUR,Technology,Software—Infrastructure,NYSE,104.67,81,88,81,56
1143,GNTX,Consumer Cyclical,Auto Parts,NASDAQ,104.65,81,72,68,83
1144,CDW,Technology,Information Technology Services,NASDAQ,104.64,81,79,76,85
1145,C,Financial Services,Banks—Diversified,NYSE,104.64,81,84,74,31
1146,UNB,Financial Services,Banks—Regional,NASDAQ,104.61,81,78,92,39
