Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
31,Footwear & Accessories,Consumer Cyclical,99.86,79,51,73,79,"RCKY,WWW,DECK,CROX,CAL,SKX,VRA,SHOO,WEYS,AREB,NKE,FORD"
32,Specialty Industrial Machinery,Industrials,99.43,78,83,75,64,"TAYD,LASE,GHM,AMSC,GE,SPXC,HWM,CR,ETN,GTES,MWA,ITT,THR,EPAC,XYL,CSWI,PKOH,IR,FLS,PH,LXFR,PSN,GNRC,PNR,DOV,CETY,CMI,B,EMR,MIR,GTLS,TNC,NPO,AOS,DCI,SXI,WTS,RRX,BWEN,TPIC,NDSN,HLIO,OTIS,KAI,ROP,FELE,AME,ITW,IEX,GRC,TWIN,GGG,HI,ROK,MIDD,ENOV,CYD,JBT,BLDP,OFLX,BURU,CVV,HURC,XMTR,KRNT,JCSE,GTEC,BW,SHPW"
33,Business Equipment & Supplies,Industrials,99.28,78,77,92,94,"SCS,HNI,AVY,EBF,ACCO"
34,Coking Coal,Basic Materials,99.04,77,93,98,98,"HCC,AMR,SXC,METC,AREC"
35,Waste Management,Industrials,98.88,76,97,28,13,"JAN,QRHC,MEG,PESI,CLH,WM,RSG,CWST,WCN,AWX,SRCL,GFL,LICY,LNZA,AQMS,CHNR,AMBI,GWAV"
36,Paper & Paper Products,Basic Materials,98.65,76,66,41,14,"SLVM,CLW,MATV,MERC,SUZ,GLT,ITP"
37,Grocery Stores,Consumer Defensive,98.41,75,64,31,75,"SFM,NGVC,VLGEA,KR,WMK,DDL,ASAI,ACI,IMKTA,DNUT,GO"
38,Insurance—Life,Financial Services,98.02,74,68,83,93,"JXN,FG,VERY,MFC,PRU,LNC,MET,AFL,CNO,BHFAN,BHFAM,GNW,UNM,BHFAO,BHFAP,PRI,NWLI,CIA,BHF,PUK,AAME,GL"
39,Semiconductor Equipment & Materials,Technology,97.75,74,67,86,77,"CAMT,ONTO,ACMR,NVMI,KLAC,VECO,TGAN,AXTI,AMAT,TER,UCTT,LRCX,ASML,PLAB,ENTG,ICHR,TRT,OLED,KLIC,IPGP,COHU,ACLS,ASYS,XPER,INDI,AMBA,DQ,INTT,ATOM,AEHR"
40,Packaging & Containers,Consumer Cyclical,97.7,73,67,50,48,"TUP,PACK,WRK,PTVE,KRT,BALL,PKG,IP,GPK,AMBP,AMCR,TRS,CCK,SEE,SON,SLGN,REYN,BERY,GEF,MYE,OI,DSS"
41,Credit Services,Financial Services,97.37,72,70,84,56,"NISN,AIHS,YRD,AXP,QFIN,ALLY,LC,LU,PMTS,SYF,SLM,BFH,AHG,ENVA,COF,NNI,DFS,RM,NRDS,OMF,PRAA,BBDC,SLMBP,IX,ATLCP,NICK,MA,V,AGM,FCFS,PYPL,EZPW,WRLD,FINV,WU,MCVT,XYF,CACC,SOFI,QD,LX,OCSL,JSM,LMFA,UPST,GDOT,SNTG,PT,NAVI,RWAY,OPRT,MFIN,CPSS,DXF,LPRO,ATLC,FOA"
42,Mortgage Finance,Financial Services,97.25,72,71,86,82,"RKT,COOP,VEL,IOR,PFSI,WD,UWMC,GHLD,LDI,SNFCA,ECPG,GHI,OCN,CNF"
43,Railroads,Industrials,96.9,71,78,95,54,"FSTR,WAB,RAIL,GBX,TRN,UNP,CNI,CP,NSC,CSX,RVSN"
44,Oil & Gas Equipment & Services,Energy,96.54,70,75,35,69,"NGS,TDW,AROC,SDPI,FTI,WFRD,VTOL,NR,LBRT,SLCA,HLX,AESI,MRC,WTTR,DNOW,WHD,SND,VAL,OII,XPRO,NCSM,PUMP,CHX,TS,BKR,TTI,NOV,HAL,SOI,USAC,FTK,DWSN,ACDC,CLB,EFXT,SLB,RNGR,GEOS,RES,ENSV,NOA,FET,PFIE,DRQ,NINE,BOOM,OIS,KLXE,RCON"
45,Airports & Air Services,Industrials,96.46,70,39,39,46,"CAAP,UP,ASR,PAC,OMAB,BLDE,JOBY,ASLE"
46,Insurance—Diversified,Financial Services,96.36,69,73,69,83,"EQH,IGIC,AEG,AIG,HIG,ACGL,ORI,ESGR,PFG,FGFPP,ESGRP,ACGLN,ACGLO,SLF,ESGRO,WDH,GSHD,FGF"
47,Specialty Business Services,Industrials,96.3,68,75,60,59,"SGRP,BV,SPIR,LICN,ACTG,CBZ,KODK,CTAS,PFMT,RBA,TRI,VVI,TISI,WHLM,CVEO,TDCX,ARMK,ABM,FA,CASS,MMS,OMEX,ARC,UNF,TH,QUAD,GPN,SST,RTO,LZ,DLHC,NTIP,SMX"
48,Apparel Retail,Consumer Cyclical,96.28,68,43,79,77,"ANF,RENT,CURV,GPS,HIBB,BOOT,SCVL,AEO,ONON,JILL,GES,BURL,URBN,TJX,BKE,ROST,ZUMZ,DBI,CTRN,CRI,VSCO,GCO,DXLG,LULU,LVLU,DLTH,TLYS,CATO,FL,BIRD,SFIX,PLCE,DBGI"
49,"Furnishings, Fixtures & Appliances",Consumer Cyclical,96.0,67,74,72,32,"VIRC,KEQU,FLXS,LCUT,TILE,HBB,AMWD,MLKN,PATK,MBC,LOVE,AUVIP,TPX,MHK,EFOI,SNBR,PRPL,LZB,VIOT,CRWS,ETD,BSET,NVFY,HOFT,NTZ,COOK,WHR,FGI,IRBT,LEG,AUVI"
50,Insurance—Specialty,Financial Services,95.98,66,76,62,71,"HIPO,NMIH,TRUP,AMBC,MTG,ACT,RYAN,FNF,RDN,AGO,ESNT,AIZ,TIPT,ITIC,EIG,ICCH,FAF,AMSF,MBI,JRVR"
