Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
61,Medical Care Facilities,Healthcare,94.0,60,62,39,53,"SNDA,CCEL,THC,PNTG,TALK,JYNT,BACK,AVAH,BKD,NHC,DVA,AMS,SEM,EHC,UHS,ADUS,BTMD,HCA,ENSG,USPH,RHE,LFST,AMED,CYH,IONM,FMS,CHE,CMPS,HCSG,OPCH,AIH,ACHC,AMN,EHAB,SGRY,MD,CCRN,AIRS,INNV,ATIP,TOI,MODV,DCGO,AGL,CCM,NVOS,PIII"
62,Capital Markets,Financial Services,93.79,60,50,94,65,"FUTU,MARA,COHN,PWP,EVR,IBKR,PIPR,AMRK,NMR,IREN,SCHW,GS,VIRT,JEF,CIFR,TIGR,TW,LAZ,SF,HLI,MC,SIEB,PJT,DFIN,RJF,MS,SNEX,BTCS,LPLA,OPY,WULF,WHG,BITF,MFH,ARBK,AC,SRL,XP,MIGI,HUT,FRHC,MKTX,BTBT,APLD,SAI,ATIF,HGBL,MEGL,HIVE,TOP,GREE,SDIG,NCPL,LGHL"
63,Advertising Agencies,Communication Services,93.46,58,85,93,83,"ADTH,CTV,QNST,STCN,MGNI,CMPR,NCMI,CDLX,CRTO,DLX,EEX,ADV,STGW,TSQ,XNET,HHS,WIMI,OMC,WPP,FLNT,CCO,INUV,TZOO,IPG,MCHX,ZD,BOC,BAOS,DRCT,CNET,IAS,ICLK,MGOL"
64,Tools & Accessories,Industrials,93.46,58,50,35,33,"SCX,EML,RBC,TKR,HLMN,RBCP,LECO,KMT,SNA,SWK,CVR,TTC,TBLT"
65,Rental & Leasing Services,Industrials,93.44,58,73,79,67,"FTAI,WLFC,URI,AER,R,AL,HRI,GATX,PRG,UHAL,FTAIN,FTAIP,HEES,FTAIO,MGRC,FPAY,MPU,WSC,CAR,CTOS,AAN,ALTG,HTZ"
66,Internet Content & Information,Communication Services,93.42,57,45,49,43,"EVER,NN,CMCM,TME,MAX,GRPN,BZFD,SPOT,SNAP,PINS,META,GOOGL,GOOG,DASH,KIND,JFIN,FENG,DOYU,SMWB,IZEA,CARG,TBLA,MATH,TRUE,OB,TWLO,ZDGE,OPRA,ATHM,THRY,YY,IAC,YNDX,TTGT,BIDU,YELP,FVRR,SSTK,ZG,GENI,Z,MTCH,SCOR,WB,ANGI,MOMO,ONFO,GETY,ZH,SEAT,KRKR,ASST,TRVG,TC,LKCO,LCFY,PERI,STBX,GROM,UPXI,AREN"
67,Utilities - Renewable,Utilities,93.21,56,92,45,98,"VGAS,ENLT"
68,Financial Data & Stock Exchanges,Financial Services,92.92,56,58,71,86,"MORN,MCO,NDAQ,ICE,SPGI,CBOE,CME,DNB,FDS,MSCI,VALU"
69,Oil & Gas E&P,Energy,92.9,55,69,19,42,"IMPP,VIST,GTE,EGY,AR,VIVK,SM,GPOR,PR,NEXT,FANG,SBOW,ERF,CNQ,INDO,CNX,RRC,IMPPP,MGY,PED,SWN,CKX,TPL,OVV,REI,CRK,CHK,NOG,OBE,CHRD,TXO,VTS,MTDR,MXC,GPRK,COP,EQT,EOG,PNRG,CIVI,CTRA,HES,BRY,MRO,DVN,MUR,DMLP,KRP,BSM,CRGY,BRN,VTLE,OXY,VET,EPSN,PHX,SBR,BTE,CRC,AMPY,HPK,BATL,CLMT,REPX,USEG,SD,KOS,APA,NRT,TALO,EP,WDS,EPM,HUSA,MVO,PVL,VOC,PRT,CRT,MTR,SJT,WTI,TELL,CEI"
70,Thermal Coal,Energy,92.75,54,33,64,97,"NRP,ARLP,CEIX,ARCH,BTU,NC,HNRG"
71,REIT—Diversified,Real Estate,92.46,54,47,44,47,"OLP,GOOD,MDV,ESRT,GIPR,AAT,EPRT,SQFTP,GOODN,UE,CTO,AHH,MDRRP,SQFT,BRSP,BNL,MDRR,VICI,WPC,ALEX,SAFE,DBRG,GNL"
72,REIT—Residential,Real Estate,92.37,53,37,24,26,"AIRC,CSR,ESS,AVB,IRT,EQR,NXRT,CPT,AIV,UDR,UMH,BRT,AMH,INVH,MAA,VRE,ELS,SUI,CLPR"
73,n/a,n/a,92.3,52,65,84,99,"ZJYL,SKGRW,CATX,IINNW,COOLW,XBIOW,HUDAR,VSSYW,TMCWW,BKDT,FBGX,CALC,LIDRW,ARBKL,GREEL,RILYT,CCLDO,BHM,CHKEL,RILYN,RILYM,AMTR,RILYZ,WUCT,UZF,KMPB,CHKEZ,QVCC,UZE,QVCD,INBKZ,UZD,RILYG,BPYPM,RILYK,ASBA,BNH,BEPI,EIC,GJH,BNJ,DCF,SNCRL,BIPI,BIPH,CHKEW,BWNB,BEPH,AIZN,GUG,MIO,BHFAL,WDI,AQNB,LIXTW,IHTA,NMAI,AFGE,NPCT,BWSN,RFM,AEFC,AFGD,GEGGL,NDMO,FINS,AFGC,KKRS,SCCE,ATLCL,HROWL,PYT,SCCF,HROWM,BLAC,MGRB,ZIONL,CGABL,UNMA,TMTCU,SCCG,GJS,SCCD,FORLU,RILYO,SCCC,ATCOL,HCXY,QDROU,GJT,QDRO,FCRX,ECCV,HWCPZ,RWAYZ,OXLCL,MGRD,SSSSL,RWAYL,GJP,RMMZ,ECCW,OFSSH,SAT,KTN,NEWTZ,SACC,RCB,SCCB,CETU,OXLCZ,SDHY,SEPAU,RCC,ARGD,PFXNZ,GAINZ,AFGB,GJO,ECCX,CUBB,RZC,GECCO,SBBA,RFMZ,NEWTL,OXSQZ,OXSQG,TBC,TFSA,NRUC,CMSC,SAY,RZB,TVC,TBB,GECCM,FTAIM,TRINL,METCL,SAJ,HNNAZ,ARQQW,LIFWW,CMSD,MGR,PRH,TELZ,HTFB,PRS,EICA,KTH,CETUU,SREA,HTFC,MHNC,NSS,GPJA,DUKB,ENO,RSF,DTW,MHLA,SOJE,CMSA,SOJD,SOJC,DTG,DTB,DHCNI,ELC,OPINL,CTDD,CYTHW,SEPA,FOSLL,CCLDP,CSSEN,HLP,TPTA,EVGOW,RNWWW,SHCRW,MYPSW,LUCYW,SEATW,HPKEW,BDRX,AMPGW,NLSPW,EOSEW,PAVS"
74,Closed-End Fund - Equity,Financial,92.14,52,53,62,60,"AIO,NBXG,BCAT,ECAT,TBLD,MEGI,CPZ,BMEZ,ZTR"
75,USA,--- Reference ---,92.05,51,66,58,74,"BNKU,FNGU,FNGO,DGP,NRGU,BAR,ATMP,AMJ,AMUB,SPY,ASGI,SLVO,BDCZ,SMHB,MLPB,DJP,UCIB,GLDI,MARXU,DLY,BLACU,EMCG,TENK,ISRL,MARX,GRN,NMCO,PFFL,USOI,DGZ,PLTN,VXZ,DZZ,NRGD,VXX,FNGD,BNKD"
76,Computer Hardware,Technology,92.03,50,52,85,35,"SMCI,DELL,PSTG,ANET,WDC,NTAP,STX,SCKT,RCAT,LOGI,QBTS,ALOT,EBON,HPQ,CRCT,QMCO,NNDM,OSS,RGTI,FATH,KTCC,QUBT,IONQ,DM,CRSR,SSYS,DDD,MKFG,INVE,TACT,CAN,VLD,UAVS"
77,Agricultural Inputs,Basic Materials,91.84,49,22,8,1,"SEED,IPI,SMG,UAN,CTVA,CGA,NTR,CF,FMC,BIOX,MOS,RKDA,ICL,BHIL,AVD"
78,Software—Infrastructure,Technology,91.84,49,62,75,66,"GCT,BCAN,ZENV,HOOD,NTNX,PAYS,BAND,CRWD,AFRM,GDDY,IOT,SQSP,SANG,CLBT,NVEI,CGNT,ACIW,BASE,TOST,WIX,BLIN,HCP,KPLT,OKTA,CYBR,RPAY,INFA,LSAK,PLTR,GEN,RXT,AVPT,PANW,TUYA,VERI,ATEN,STER,OSPN,VRNS,ZUO,ALTR,SQ,PAGS,EEFT,MSFT,RDWR,CFLT,SNPS,SNCR,SPSC,ORCL,BLZE,PAYO,DOCN,PATH,ALLT,EVCM,SWI,AUID,S,MRDB,CHKP,AVDX,VRNT,FFIV,CCCS,MOGO,NET,RAMP,ZS,WEX,DTSS,STNE,FOUR,IMXI,TENB,FTNT,PGYWW,QIWI,BOX,MDB,MQ,GB,QLYS,ADBE,EVTC,PRTH,DBX,JG,AKAM,DOX,IIIV,SCWX,NTCT,APPN,CCSI,BB,YEXT,VRSN,TCX,CSGS,TDC,ARBE,PGY,FIVN,CINT,RPD,EGIO,RELY,KLTR,VRAR,ARQQ,TIXT,REKR,VHC,DLO,DAVA,GRRR,APCX,TAOP,BKKT,RVYL,STEM,CISO,SOS,INTZ,MLGO,CETX"
79,Aerospace & Defense,Industrials,91.77,49,55,46,62,"BYRN,ERJ,OPXS,RDW,AVAV,SKYH,EH,TATT,AIRI,WWD,CW,LILMW,TDG,VSEC,DRS,AXON,DCO,VTSI,TGI,GD,LILM,SWBI,KTOS,HEI,SPR,POWW,RTX,ATRO,TXT,BWXT,LHX,AIR,SIF,VVX,ASTC,CDRE,HII,LMT,POWWP,NOC,PKE,NPK,HXL,IVAC,CODA,ESLT,CAE,LLAP,MRCY,RGR,CVU,BA,RKLB,LUNR,EVEX,EVTL,ACHR,PL,ISSC,DPRO,SIDU,SPCE,AULT,MNTS,KITT,ASTR,AZ,KWE"
80,Semiconductors,Technology,91.67,48,27,81,67,"SMTC,AAOI,NVDA,MU,FORM,QCOM,AVGO,TSM,AIP,MTSI,CRUS,MPWR,QUIK,NXPI,AMD,SIMO,ASX,MRVL,AMKR,POET,TXN,SITM,ADI,MCHP,TSEM,AOSL,HIMX,UMC,SKYT,IMOS,LASR,VLN,SGH,VSH,SLAB,RMBS,LEDS,POWI,LSCC,DIOD,SYNA,GFS,NVEC,QRVO,ICG,GSIT,MXL,STM,SWKS,CEVA,ON,ALGM,INTC,WOLF,MRAM,WKEY,MX,PXLW,NVTS,NA,PRSO,WISA,EMKR,SQNS"
81,REIT—Office,Real Estate,91.55,47,35,47,37,"SLG,BDN,VNO,HIW,ESBA,OGCP,DLR,FISK,NYC,DEI,ELME,PDM,ARE,BXP,CUZ,CIO,KRC,PGRE,EQC,JBGS,DEA,PSTL,HPP,FSP,CMCT,ONL,OPI"
82,Asset Management,Financial Services,91.39,47,56,56,58,"CRBG,KKR,VCTR,OWL,ARES,SII,ASA,CEM,WT,APO,EMO,CG,STEP,TPG,CTR,CGBD,BK,BN,AMP,GCMG,EDF,HLNE,JHG,APAM,TWN,TTP,BX,BGT,NXG,CSWC,CCAP,BCSF,ADX,ARDC,AINC,AFT,CGO,HTGC,CET,ACV,SCD,MFIC,CCD,NOAH,BXSL,SRV,DMA,BGX,TYG,AIF,AMK,RGT,MAIN,BAM,NTG,CION,KYN,CEE,GAM,FSCO,PNNT,ARCC,CNS,BSL,NDP,BGB,PFX,ACP,EOS,KSM,SSSS,FGB,TPZ,NML,BLK,AVK,SPE,BWG,VRTS,BANX,CHW,BGR,RAND,AB,FPF,CHN,PEO,BCX,BGH,MPV,HPF,GGN,BST,KIO,BSTZ,CSQ,STT,NTRS,BOE,AEF,GNT,ETY,EOD,VVR,GLQ,EEA,BUI,AWF,AMG,HIE,AWP,CHI,EOI,GLAD,GLU,AGD,BDJ,MCI,RVT,AOD,HNW,HPS,SEIC,TY,ETG,GBDC,LGI,JCE,TROW,THQ,BTO,JPI,SLRC,NPFD,IIF,SOR,ETO,RMT,EMF,PAXS,BSIG,RNP,EVT,PDT,UTF,JGH,EFT,TEI,KTF,HTD,BGY,GDV,JQC,JPC,KF,RIV,BKN,CEV,BIT,BLW,HPI,DMF,NRO,FRA,NIE,ERH,FFA,PHD,EVF,VINP,BHK,BNY,PTA,FOF,MUA,GLO,LDP,USA,IAF,HYT,ASG,MUI,UTG,STEW,BTZ,TRIN,JLS,IAE,EXG,JFR,BTA,SWKH,MXE,NEWT,EFR,FAM,JHS,RCS,HNNA,PTMN,DSU,PGP,STK,FCO,DFP,PFO,PGZ,PHT,NQP,NRK,MXF,DHY,MHI,IVZ,DHF,BHV,CBH,FMN,MSD,JOF,BLE,IGA,BXMX,VTN,DMO,EVM,FCT,IHD,FLC,OXLC,PCM,DPG,GSBD,FFC,FMY,EIM,EVG,NXC,FSD,JHI,VPV,GLV,HQL,GECC,GGZ,JRS,OCCI,EMD,VFL,BMN,MHF,GAB,AFB,SCM,HYB,WHF,CII,BYM,IDE,BFZ,ETX,DSL,ETB,OPP,ETJ,BBUC,NVG,NZF,PFD,ENX,PTY,BRW,JEQ,MPA,RQI,TSLX,ETV,FT,MVF,GRF,MQY,GGT,NMZ,PFN,NFJ,BFK,TDF,HQH,MHN,MYN,ECCC,PSF,PDI,SPXX,GHY,PCF,BKT,CRF,INSI,NMT,OCCIO,NKX,OXSQ,CXE,MAV,EVV,GF,NXJ,JRI,MMU,RLTY,OIA,MMT,NAC,IGR,ETW,IGD,DBL,BME,LRFC,VKQ,ISD,MFD,OCCIN,CMU,VLT,MFM,GRX,DSM,CXH,JMM,PAI,PFLT,PFL,MUE,MIY,VGM,RFI,MVT,BIGZ,VCV,IQI,MHD,GAIN,IGI,EAD,LEO,VMO,CIF,FUND,NAN,OXLCN,NAZ,THW,BUR,OXLCP,BCV,MYD,NOM,XFLT,OXLCO,NBH,NEA,FDUS,MYI,MCR,FTF,VKI,SWZ,EHI,EVN,SBI,NPV,NAD,GAINN,CIK,QQQX,VBF,NCZ,HEQ,IIM,GBAB,NHS,GDL,NMI,CLM,MUJ,FSK,WEA,BTT,MUC,GOF,ECC,BBN,PMM,NXN,PCK,NMS,OXLCM,IFN,MMD,NMFC,MCN,CAF,ECF,MQT,PIM,NCA,DTF,DIAX,NUV,GJR,VGI,PNI,MRCC,NIM,GDO,NCV,NXP,GUT,PYN,EDD,PHK,PMX,RMM,NUW,WIW,PMO,PPT,WIA,TSI,TEAF,HYI,DHIL,NTRSO,MGF,PCQ,DMB,EOT,PCN,ERC,HIO,NNY,PMF,GROW,FAX,PML,NBB,CHY,PNF,GCV,HIX,EQS,BEN,PSEC,MIN,RCG,PZC,EGF,MGLD,TCPC,FHI,OFS,DNP,SAR,BRDG,HRZN,SAMG,HGLB,ICMB,RA,TURN,HFRO,PAX,TPVG,CUBA,PX,GRABW,AMTD,NXDT,ALTI,AAMC,HYW"
83,REIT—Healthcare Facilities,Real Estate,91.19,46,38,42,50,"STRW,NHI,WELL,DHC,CTRE,VTR,SBRA,DOC,LTC,MPW,HR,OHI,GMRE,HTIA,UHT,CHCT,HTIBP"
84,REIT—Mortgage,Real Estate,90.69,45,40,32,45,"TRTX,ACR,AOMR,MITT,LFT,SEVN,RITM,AGNC,AGNCP,PMT,ABR,EARN,AGNCM,NYMTZ,LADR,AGNCO,AGNCL,STWD,NLY,AGNCN,NYMTM,ARI,NYMTL,DX,LOAN,ARR,NYMTN,MFA,REFI,IVR,ORC,TWO,RWT,FBRT,BXMT,EFC,CHMI,NREF,KREF,CIM,SACH,RC,ACRE,CMTG,NYMT,AJX,GPMT"
85,Utilities—Regulated Water,Utilities,90.25,45,29,21,64,"ARIS,SBS,GWRS,WTRG,CWCO,CWT,AWK,YORW,ARTNA,AWR,CDZI,SJW,PCYO,CDZIP,MSEX"
86,Drug Manufacturers—Specialty & Generic,Healthcare,90.23,44,24,41,15,"EBS,CGC,CRDL,INCR,DCPH,AMRX,ACB,SNDL,UPC,TEVA,DERM,AQST,SIGA,IMCC,CRON,PAHC,IXHL,ELAN,HCM,ESPR,SCYX,HROW,AYTU,EOLS,SSIC,NBIX,CTLT,ALVO,AVDL,GHSI,COLL,LNTH,OGI,PETQ,TARO,ANIP,ZOM,QLI,ALIM,ITCI,HLN,RDY,RMTI,SNOA,VTRS,KMDA,TLRY,SUPN,CYTH,ZTS,FLGC,PRPH,PCRX,ORGO,PRGO,OPTN,TAK,DVAX,AMPH,BHC,THTX,EMBC,CPIX,YCBD,ASRT,TXMD,LFCR,RDHL,PROC,KALA,DRRX,SHPH,TKNO,BGXX,COSM,EVO,IRWD,PRFX,EGRX,CPHI,BFRI,EVOK,SISI,RGC,SXTC,AKAN,HPCO,PTPI,HUGE,SBFM"
87,Specialty Chemicals,Basic Materials,89.97,43,42,27,28,"KRO,REX,PRM,HWKN,NTIC,ODC,CBT,IFF,MTX,AVNT,WLK,ECL,EMN,SXT,AXTA,IOSP,NGVT,ASH,AVTR,DD,RPM,ESI,SHW,BCPC,OEC,FUL,NEU,OLN,FSI,LIN,LYB,WDFC,APD,KOP,KWR,CC,SCL,ECVT,CMT,PPG,GURE,ALB,SQM,LOOP,CRKN,FEAM,HDSN,LWLG,SSL,GPRE,ALTO,GEVO,DNMR,TSE,SNES,CNEY"
88,REIT—Specialty,Real Estate,89.94,43,47,43,66,"HASI,IRM,CXW,LAMR,OUT,AFCG,AMT,EQIX,FPI,GLPI,CCI,EPR,WY,RYN,PCH,SBAC,PW,UNIT"
89,Discount Stores,Consumer Defensive,89.93,42,54,63,32,"COST,WMT,PSMT,BJ,TGT,OLLI,DG,DLTR,BIG"
90,REIT—Retail,Real Estate,89.68,41,45,53,47,"WHLRD,MAC,WHLRP,AKR,SPG,ALX,WSR,SKT,SITC,BFS,FRT,BRX,NNN,IVT,NTST,ADC,FCPT,CBL,REG,KIM,O,ROIC,KRG,PINE,PECO,GTY,SRG,WHLR"
91,Consulting Services,Industrials,89.62,41,32,54,49,"CRAI,BAH,EXPO,FCN,EFX,ICFI,TRU,VRSK,BWMN,FC,GRNQ,HURN,RGP,FORR,EPOW"
92,Shell Companies,Financial Services,89.48,40,59,40,78,"AGBA,GATEW,PTWOU,ADRT,MTAL,GLLIU,PTWO,HUDA,OCAXU,SYM,ROCLU,ONYXU,KACLU,IMAQU,FHLT,HUDAU,DHAC,CCTS,AEAE,PWUP,CLOEU,EMCGU,TRON,HCVIU,RENEW,APXIU,ACAB,BRKHU,ACABU,TETEU,THCPU,DECAU,FEXD,WINVU,AACIU,AACI,CLOE,NOVV,ACACU,TENKU,QOMOU,FHLTU,NBSTU,INAQ,MACA,VSAC,TETE,ATMCU,ACBA,PWUPU,IGTA,BRKH,TLGYU,IVCBU,MCAC,PLMIU,ARYD,CHAA,GPACU,PPYAU,FLFVU,GMFI,KACL,ATEK,XFIN,BLUA,AIMBU,MCAAU,CBRG,GHIXU,HHGC,PHYT,BOCNU,FRLAU,COOL,LATG,VMCA,WEL,TCOA,AFAR,CLRC,APXI,DHACU,MSSA,GLLI,EVE,ROCL,NPABU,ATMC,TGAA,ATMV,BOCN,RFAC,DPCS,MNTN,IXAQ,CSLM,OCAX,TLGY,IVCB,BYNOU,APCA,PLMI,GMFIU,FNVT,IFIN,IVCA,GDST,BWAQ,BYNO,VSACU,PLAO,GAQ,GPAC,NVAC,TRIS,TRTL,RCFA,EVGR,MCAA,ATMVU,RENE,GLST,IMAQ,VCXB,GDSTU,HSPO,ACBAU,RRAC,CITE,TWLV,GAMC,OSI,NFYS,SEDA,GTACU,AQU,ALSA,KRNL,AIMAU,FTII,KCGI,CDAQ,GTAC,PPYA,SVII,YOTA,CCTSU,PFTA,IGTAU,BCSA,AEAEU,BRAC,EVGRU,CNGL,KRNLU,BACA,FRLA,LCW,SKGRU,SLAM,SVIIU,THCP,FLFV,WAVS,HAIA,HAIAU,AOGO,GATE,VMCAU,PRLH,RENEU,FTIIU,SLAMU,HHGCU,INTE,CVII,SKGR,BCSAU,FIAC,CMCA,CLRCU,JWSM,CNDA,GHIX,NBST,WAVSU,ACAC,DMYY,IRAA,CDAQU,MACAU,PUCK,BNIX,EMLD,MITA,GBBK,CMCAU,HSPOU,BFAC,BREZ,WINV,QOMO,PFTAU,DUETU,HCVI,BRACU,ISRLU,ONYX,DUET,ALSAU,LATGU,NPAB,IVCP,TGAAU,ASCB,BLEUU,BHAC,FNVTU,MCACU,XFINU,GRNT,RFACU,DECA,INTEU,GAMCU,TWLVU,BHACU,NOVVU,AQUNU,AFARU,MSSAU,CFFS,CFFSU,IVCPU,FEXDU,BLEU,CITEU,WTMAU,PLAOU,EMLDU,IVCAU,GLSTU,CNGLU,SWSSU,MITAU,DPCSU,WTMA,SWSS,ASCBU,GATEU,TRONU,MCAG,FIACU,AOGOU,BWAQU,PRLHU,CSLMU,PUCKU,MAQCU,MCAGU,MAQC,YOTAU,CBRGU,COOLU,IXAQU,IRAAU,FRLAW,PEGR,PEGRU,SWAG,BITE,PLTNU,HNRA,RWODU,RWOD"
93,Textile Manufacturing,Consumer Cyclical,89.14,39,5,9,19,"DXYN,AIN,UFI,CULP"
94,Education & Training Services,Consumer Defensive,88.88,39,28,80,57,"APEI,GOTU,UTI,TAL,PRDO,LRN,BEDU,ATGE,STRA,EDU,LINC,STG,LAUR,AFYA,GHC,LOPE,FEDU,COE,WAFU,YQ,VSTA,UDMY,DAO,EDTK,EEIQ,JZ,AACG,IH,VTRU,GNS,QSG,AMBO,GSUN,SKIL,AIU,COUR,CHGG,TWOU,CLEU,LXEH"
95,Information Technology Services,Technology,88.8,38,30,69,73,"DTST,KD,CSPI,LDOS,PSFE,PAY,FIS,WYY,TASK,CACI,INOD,ASGN,AUR,TLS,FORTY,CNDT,IT,SAIC,BR,NYAX,PRFT,IBM,GDS,CDW,EXLS,MGIC,JKHY,WIT,DLB,JFU,GIB,VNET,WAVD,CTLP,CTSH,HCKT,INFY,NABL,USIO,UIS,G,NOTE,AI,ACN,IBEX,GDYN,GLOB,CLPS,XRX,LVRO,WNS,BBAI,CNXC,BTCM,CLVT,DXC,CTM,DMRC,EPAM,III,TWKS,FLYW,TTEC"
96,Farm Products,Consumer Defensive,88.71,37,48,12,16,"VITL,VFF,LMNR,TSN,CALM,DOLE,BG,AGRO,ALCO,AFRI,CHSCN,CHSCO,LND,CHSCM,CHSCP,CHSCL,LOCL,FDP,ADM,AQB,SANW,EDBL,AGRI"
97,Packaged Foods,Consumer Defensive,88.46,37,44,22,21,"LSF,LWAY,BRFS,FRPT,PPC,BRCC,SENEB,BRBR,SENEA,CENT,FREE,LFVN,CENTA,JVA,POST,UTZ,INGR,BTOG,HRL,FARM,K,CPB,JJSF,NAII,WEST,CAG,FLO,SMPL,NOMD,LANC,GIS,KHC,NATR,STKL,JBSS,HLF,MKC,PETZ,USNA,BRID,BGS,DAR,SJM,LW,BYND,THS,NUZE,SNAX,NCRA,HAIN,STKH,FAMI,PLAG,BON,BSFC,BTTR,RGF,SMFL"
98,Telecom Services,Communication Services,88.4,36,20,37,68,"TDS,USM,CXDO,TEO,TIGO,FYBR,TKC,IDT,VEON,LILA,LILAK,RBBN,FNGR,ASTS,IDCC,PHI,TMUS,T,VZ,VOD,ANTE,CNSL,KT,TIMB,AMX,LBRDP,CHT,RDCM,SKM,GOGO,LBTYA,ORAN,LBTYB,LBTYK,ATEX,WOW,ATUS,VIV,CMCSA,TU,TV,RCI,SIFY,GSAT,BCE,SHEN,CCOI,KORE,IRDM,LUMN,CHTR,IHS,ATNI,TLK,LBRDA,LBRDK,CABO,UCL,OOMA"
99,Security & Protection Services,Industrials,88.34,35,60,25,24,"GEO,VRME,NL,ARLO,BCO,DGLY,NSSC,SNT,REZI,MG,ADT,MSA,CIX,BRC,ALLE,IVDA,GFAI,UUU,BAER,SPCB,KSCP,EVLV,LGMK,BKYI"
100,Other Industrial Metals & Mining,Basic Materials,88.12,34,13,4,13,"XPL,IPX,VZLA,FURY,TECK,TMC,WRN,IONR,NEXA,EMX,SKE,GSM,NAK,USAS,RIO,BHP,MP,STR,TMQ,MTRN,VALE,SLI,SGML,UAMY,WWR,LITM,NMG,AMLI,PLL,LAC,ELBM,NB,LGO,CMP,GRFX"
101,Utilities—Regulated Gas,Utilities,88.12,34,41,24,26,"SWX,RGCO,SPH,NI,CPK,ATO,SR,UGI,NJR,UGIC,BIPC,NWN,OGS,OPAL,NFE"
102,Restaurants,Consumer Cyclical,88.11,33,37,36,36,"SG,WING,EAT,REBN,CMG,KRUS,TXRH,DPZ,SHAK,BROS,BH,LOCO,CAKE,BJRI,STKS,GTIM,CNNE,YUM,BDL,NATH,ARCO,QSR,RAVE,DRI,ARKR,FATBP,MCD,FWRG,WEN,BLMN,PBPB,DIN,YUMC,DENN,YOSH,FAT,SBUX,RICK,FATBB,CHUY,NDLS,PZZA,JACK,PTLO,RRGB,THCH,CBRL,BTBD,BFI"
103,Oil & Gas Drilling,Energy,88.07,33,34,17,49,"SDRL,PDS,DO,NE,RIG,HP,PTEN,BORR,NBR,ICD"
104,REIT—Industrial,Real Estate,88.06,32,24,49,35,"IIPR,ILPT,EXR,NSA,CUBE,PSA,SELF,LANDM,STAG,LXP,PLYM,TRNO,LANDO,EGP,FR,LAND,PLD,REXR,COLD"
105,Home Improvement Retail,Consumer Cyclical,87.98,32,33,55,45,"ARHS,FND,TTSH,LOW,HD,LIVE,HVT,LESL,LL"
106,Farm & Heavy Construction Machinery,Industrials,87.9,30,43,52,33,"REVG,HY,CAT,GENC,CEAD,OSK,CMCO,PCAR,MNTX,TEX,DE,UGRO,ALG,AGCO,SHYF,LNN,CNHI,WNC,XOS,ASTE,MTW,HYFM,ARTW,TWI,NKLA,IDEX,LEV"
107,Utilities—Diversified,Utilities,87.9,30,18,16,39,"AES,MGEE,ALE,OTTR,AVA,SRE,BKH,CIG,UTL,NWE,BIP,ELP,HE,MNTK"
108,Medical Distribution,Healthcare,87.62,30,81,77,81,"MCK,ZYXI,CAH,PBH,HSIC,OMI,GEG,PDCO"
109,Closed-End Fund - Debt,Financial,87.5,29,52,51,50,"FTHY,RMI"
110,Real Estate—Development,Real Estate,87.41,28,26,71,84,"XIN,FOR,AXR,FPH,LSEA,OZ,ARL,AEI"
111,Airlines,Industrials,87.38,28,64,70,18,"SKYW,HA,DAL,UAL,CPA,RYAAY,ALK,AAL,VLRS,JBLU,ULCC,LUV,ATSG,MESA,SNCY,AZUL,ALGT,SAVE"
112,Drug Manufacturers—General,Healthcare,87.28,27,19,60,28,"LLY,OGN,AMGN,GSK,AZN,MRK,ABBV,NVS,SNY,JNJ,BIIB,PFE,GILD,GRFS,BMY,SCLX"
113,Electrical Equipment & Parts,Industrials,87.18,26,31,30,22,"VRT,POWL,ULBI,DFLI,NVT,WIRE,ADSE,CBAT,AYI,NEOV,HUBB,HAYW,ESP,ATKR,HOLI,BE,NVX,AEIS,ENS,SVT,APWC,SLDP,PLPC,KE,ENR,OESX,RFIL,IPWR,ENVX,RAYA,EAF,FREY,GWH,LTBR,POLA,FLUX,PPSI,PLUG,SKYX,FCEL,OPTT,EOSE,XPON,MVST,AMPX"
114,Apparel Manufacturing,Consumer Cyclical,86.68,25,39,76,44,"SGC,LEVI,KTB,RL,LAKE,PVH,GIII,HBI,GIL,COLM,OXM,ZGN,GOOS,JRSH,UA,FIGS,UAA,XELB,VFC,VNCE,JXJT,DLA"
115,Real Estate Services,Real Estate,86.68,25,6,15,18,"REAX,DUO,MLP,NMRK,BEKE,JLL,CWK,GBR,DOMA,BPYPN,BPYPO,BPYPP,PGRU,CBRE,CSGP,CIGI,MMI,FRPH,RMR,NEN,MAYS,RDFN,FSV,EXPI,OPEN,GYRO,HOUS,KW,RMAX,RFL,TCI,MDJH,FLJ,OPAD,UK,DOUG,LODE,ASPS,FTHM,ALBT,OMH"
116,Lumber & Wood Production,Basic Materials,86.62,24,9,5,9,"UFPI,JCTCF,WFG,EVA"
117,Insurance Brokers,Financial Services,86.17,24,23,23,61,"SLQT,BRP,ERIE,BRO,CRVL,AJG,MMC,WTW,HUIZ,AON,EHTH,TIRX,GOCO,FANH,RELI"
118,Banks,Financial Services,86.13,23,45,45,60,"BPOPM,BANFP,PFH"
119,Utilities—Renewable,Utilities,86.06,22,36,15,1,"CEG,SMR,WAVE,BEPC,AY,EE,BEP,AQNU,CWEN,AQN,NEP,ORA,ELLO,RNW,FLNC,CREG,HTOO,AMPS,NRGV,HTOOW,ADN,BNRG"
120,Pollution & Treatment Controls,Industrials,86.0,22,56,34,71,"CECO,FSS,ZWS,CLWT,FTEK,PCTTU,SCWO,PCT,TOMZ,CLIR,LIQT,ERII"
